000078096/000,*CE8B4379BFE24A5383EE88E2000078096/000*
000078098/000,*CFB26BA9467B42CEEDC796AB000078098/000*
000078099/000,*2FBBDD321C50A07B4D01A7B1000078099/000*
000078100/000,*83E009A5A58730754E55E0FE000078100/000*
000078101/000,*BF2604464DB3B4E57C332D3B000078101/000*
000078102/000,*052CEF5A4736AF60D5BAB80B000078102/000*
000078103/000,*A2797C4C422B5E3C0AD2B5EB000078103/000*
000078105/000,*6D59F52F2F99AE99152958DE000078105/000*
000078108/000,*356DB6C55645BF8E3655534B000078108/000*
000078109/000,*FC3BC926A96FAC4E10D50DE2000078109/000*
000078110/000,*3844AA2D60F7795F188FF808000078110/000*
000078111/000,*96CF39EB4FC3F712E8B9FB38000078111/000*
000078112/000,*CE96C7F884523DC74AD8A77B000078112/000*
000078113/000,*A40594C9A4305A492A144BDD000078113/000*
000078114/000,*B77CCA698848F74C3D9AB7A0000078114/000*
000078115/000,*E838390C6ABEB15F8D2D35A8000078115/000*
000078116/000,*6BF08AB895FD53B93BCCBF2F000078116/000*
000078117/000,*1DFC03473E9C0ED7E44D6F8E000078117/000*
000078118/000,*0277C63AF5EA3544B4F4EC5A000078118/000*
000078119/000,*876E3A7B388B0E4552F96A2C000078119/000*
000078120/000,*AAF2BDA6260313D69B6753A8000078120/000*
000078121/000,*CAC0E13DF5DBE43EB968189E000078121/000*
000078122/000,*5B3D944CFB564813FB4DFB21000078122/000*
000078123/000,*2F62AEF85C6395F1FEDD58DA000078123/000*
000078124/000,*A6AE7942172296AA6E6134AA000078124/000*
000078125/000,*AB5A9FCAAFA5E3111784C713000078125/000*
000078126/000,*7F0DF929F4CE769E665552EC000078126/000*
000078127/000,*1CE376CA1BF5BCE2EABE15A4000078127/000*
000078128/000,*E24D509B5AC97D4962C9F762000078128/000*
000078129/000,*59F3AF2686AA81D4368E5268000078129/000*
000078130/000,*C70B1FA928DAF78D3AC09F7A000078130/000*
000078131/000,*ECB0E923F0B21BEE6DCF030E000078131/000*
000078132/000,*FA138376A61D0C471DDF5587000078132/000*
000078133/000,*1DF40626BC2D71730557368D000078133/000*
000078134/000,*249DEB18539004C431618357000078134/000*
000078135/000,*A88BA4D537430D6CF139C5CB000078135/000*
000078136/000,*28A89A7BB5589AC8C1CABB49000078136/000*
000078137/000,*874D15CB49FF78E76D529FC7000078137/000*
000078138/000,*F5E0B43430229B1E68E69093000078138/000*
000078139/000,*3747DE2A1F36B30CD2D97B1C000078139/000*
000078140/000,*1ABBDDF775BF7AFB76F99D83000078140/000*
000078141/000,*252850256FB71EFCC521B41C000078141/000*
000078142/000,*77ADE2505534B2D3E332AA6F000078142/000*
000078143/000,*F5848F0F57CA228D30F0C1E7000078143/000*
000078144/000,*08D548CC2566D14B7107D4B2000078144/000*
000078145/000,*F36539AEA038673F08815C9D000078145/000*
000078146/000,*32B0C275B2D8AE50CE581E1C000078146/000*
000078147/000,*06FDB8DFED4786043AB718F2000078147/000*
000078148/000,*639A2AA0AA639B9DAFB7E914000078148/000*
000078149/000,*A65382EC93580867459BD7A5000078149/000*
000078150/000,*F4AF279665A9ECF39FFC26F9000078150/000*
000078151/000,*AD5451EFE7AF7336A35693E6000078151/000*
000078152/000,*7314740B5B15CD0545E623EE000078152/000*
000078153/000,*626390BDF6BA2195F4711741000078153/000*
000078154/000,*2ABDF63D927E8DFC9DA16A0F000078154/000*
000078155/000,*42067B160A400D6FDF7AC6AB000078155/000*
000078156/000,*D9FBBBBCFCBB77281448362E000078156/000*
000078688/000,*2B2748752964F8BA278C3FC6000078688/000*
000078689/000,*FBC94823F30DCA5A653C782E000078689/000*
000078690/000,*3863F45DCAF8165E7CE1E1FE000078690/000*
000078691/000,*A36C21B15FC02562948C71F2000078691/000*
000078692/000,*9ED342F89D0105958D4D60A5000078692/000*
000078693/000,*2277EE9D21A90D5CD7C229A3000078693/000*
000078694/000,*4915625B7C39E9A27A0D63E4000078694/000*
000078695/000,*2E4838FF7626752A37A502B2000078695/000*
000078696/000,*F452BC1ADFED38DE46C6660E000078696/000*
000078697/000,*C95B932089AEDC06DCD46C3C000078697/000*
000078698/000,*A6B544957F8D351EFFBC9A96000078698/000*
000078699/000,*83CC4506EBFB3CD16BB662B3000078699/000*
000078700/000,*1FFD05BE52E6A8A196334EBB000078700/000*
000078701/000,*515B1EE571A37488C91BC3D3000078701/000*
000078702/000,*C2B54564CADEECCA7F6353ED000078702/000*
